ERROR:root:;valorAPosta;corAposta;brancoAposta;winAposta;contadorAposta;Data/Hora
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 21:20:26.432128
ERROR:root:;0.02;PRETO;False;False;1;2021-11-06 21:24:39.356507
ERROR:root:;0.04;PRETO;False;False;2;2021-11-06 21:25:10.038524
ERROR:root:;0.08;PRETO;False;False;3;2021-11-06 21:25:42.767694
ERROR:root:;0.16;VERMELHO;False;True;4;2021-11-06 21:26:14.747299
ERROR:root:;0.02;VERMELHO;False;False;1;2021-11-06 21:31:31.408847
ERROR:root:;0.04;VERMELHO;False;False;2;2021-11-06 21:32:03.649478
ERROR:root:;0.08;VERMELHO;False;False;3;2021-11-06 21:32:33.711731
ERROR:root:;0.16;VERMELHO;False;True;4;2021-11-06 21:34:09.623755
ERROR:root:;0.02;VERMELHO;False;True;1;2021-11-06 21:35:13.865393
ERROR:root:;0.02;VERMELHO;True;True;1;2021-11-06 21:35:44.689405
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 21:37:49.261812
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 21:38:21.133697
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 21:38:52.894477
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 21:39:24.612917
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 21:39:56.825859
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 21:40:26.683449
ERROR:root:;0.02;PRETO;True;False;1;2021-11-06 21:41:30.125199
ERROR:root:;0.04;PRETO;True;True;2;2021-11-06 21:42:03.956334
ERROR:root:;0.02;PRETO;False;False;1;2021-11-06 21:44:40.760094
ERROR:root:;0.04;PRETO;False;True;2;2021-11-06 21:45:11.370053
ERROR:root:;0.02;PRETO;False;False;1;2021-11-06 21:46:14.457436
ERROR:root:;0.04;PRETO;False;True;2;2021-11-06 21:46:47.304182
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 21:47:16.761398
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 21:47:48.546582
ERROR:root:;0.02;PRETO;False;False;1;2021-11-06 21:48:52.076747
ERROR:root:;0.04;PRETO;False;False;2;2021-11-06 21:49:22.592297
ERROR:root:;0.08;PRETO;False;False;3;2021-11-06 21:49:55.222168
ERROR:root:;0.16;PRETO;False;True;4;2021-11-06 21:50:27.210519
ERROR:root:;0.02;VERMELHO;False;True;1;2021-11-06 21:53:34.980669
ERROR:root:;0.02;VERMELHO;False;True;1;2021-11-06 21:54:06.566675
ERROR:root:;0.02;VERMELHO;True;True;1;2021-11-06 21:54:38.819794
ERROR:root:;0.02;VERMELHO;True;True;1;2021-11-06 21:55:42.498527
ERROR:root:;0.02;VERMELHO;False;False;1;2021-11-06 21:57:17.320525
ERROR:root:;0.04;VERMELHO;False;False;2;2021-11-06 21:57:47.809758
ERROR:root:;0.08;VERMELHO;False;False;3;2021-11-06 21:58:20.612654
ERROR:root:;0.16;VERMELHO;False;True;4;2021-11-06 22:01:58.106901
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 22:02:29.817061
ERROR:root:;0.02;VERMELHO;False;True;1;2021-11-06 22:03:01.556999
ERROR:root:;0.02;PRETO;False;False;1;2021-11-06 22:03:33.382466
ERROR:root:;0.04;PRETO;False;False;2;2021-11-06 22:04:03.888015
ERROR:root:;0.08;PRETO;False;False;3;2021-11-06 22:04:36.163088
ERROR:root:;0.16;VERMELHO;False;True;4;2021-11-06 22:08:47.835921
ERROR:root:;0.02;VERMELHO;True;False;1;2021-11-06 22:12:59.905227
ERROR:root:;0.04;VERMELHO;True;True;2;2021-11-06 22:13:30.374382
ERROR:root:;0.02;PRETO;False;False;1;2021-11-06 22:16:39.009398
ERROR:root:;0.04;PRETO;False;False;2;2021-11-06 22:17:11.367719
ERROR:root:;0.08;PRETO;False;True;3;2021-11-06 22:17:42.370509
ERROR:root:;0.02;PRETO;True;False;1;2021-11-06 22:19:17.513954
ERROR:root:;0.04;PRETO;True;True;2;2021-11-06 22:19:49.198992
ERROR:root:;0.02;PRETO;False;False;1;2021-11-06 22:20:18.972377
ERROR:root:;0.04;PRETO;False;False;2;2021-11-06 22:20:51.606240
ERROR:root:;0.08;PRETO;False;True;3;2021-11-06 22:21:22.377779
ERROR:root:;0.02;PRETO;False;True;1;2021-11-06 22:21:54.400425
